name,adress
MJM hospital,"1202/2, Ghole Rd, Pune, Maharashtra 411005"
Gupte hospital," V. D. Ghate Path, Deccan Gymkhana, Pune"
deccan harikar hospital ,"1160/61, University Road, Shivajinagar, Pune, Maharashtra 41100"
kem hospital,"KEM Hospital, Jawaharlal Nehru Marg, Somwar Peth, Pune"
apollo spectra,"Sadashiv Peth, Pune, "
MediCtrl Apple Hospital," Wakad Road, Gulmohar colony, Vishal Nagar, Pimpri-Chinchwad, Haveli, Pune "
rubby hall hospital,"Boat Club Road, Pune,"
rubby hall hospita,"RELA INSTITUTE - RUBY HALL CLINIC, 40, Rajarshi Shahu Maharaj Path, Somwar Peth, Pune"
oyster and pearl hospital,"1671-75,ganeshkhind road ,shivajinagar , pune"
jehangir hospital,"Jehangir Hospital, Bund Garden Road, Somwar Peth, Pune"
mothercare hospital ivf centre,"Kasba Peth, Pune"
Pai Urology Clinic,"Sheshadri, 1, Paud Road, Rambaug Colony, Kothrud, Pune"
Kulkarni Hospital,"Guruwar Peth, Pune"
Lokmanya Hospital,"314 / B Chinchwad Gaon Road, Pune"
Sahyadri Hospital,"Sahyadri Hospital, Karve Road, Deccan Gymkhana, Pune"
Jupiter Hospital,"19, Balewadi High Street, Dasar, Baner, Pune"
Indian Red Cross Hospital,"Chai Cafe, Dastur Meher Road, Pune Cantonment, Pune,"
National Aids Research Institute,"MIDC Bhosari, Bhosari, Pimpri-Chinchwad, Haveli, Pune"
ESI Hospital,"Aundhgaon - Aundh Dmart Road, Aundh, Pune"
Dwarka Hospital,"Ajmera, Pimpri-Chinchwad, Haveli, Pune"
Chellaram Diabetes Institute,"Lane 1C, Anupam Park, Bavdhan, Mulshi, Pune"
Gastrohub Hospital,"Shantiniketan Society, Vishal Nagar, Pimpri-Chinchwad, Haveli, Pune"
Shreyas Hospital,"Dr. NarenDr. a G. Patwardhan, Deccan Gymkhana Road, Deccan Gymkhana, Pune"
Sanjivan Hospital,"Karve Road, Erandwana, Pune"
Global Hospital,"Dattawadi, Pune, Pune District"
Apurva Homeopathy Clinic,"Pune, Pune District, Maharashtra, 411045, India"
CIMET's Inamdar Multispeciality Hospital,"Dr. Qaedjohar Dhariwal, S no 15, 54/1, Fatima Nagar, Pune"
Deshpande Hospital,"Deshpande Hospital, Late Vitthalrao Namdeo Shivarkar Road, Fatima Nagar, Pune "
Mantri Hospital," Bhagwan Tatyasaheb Kawade Marg, Ghorpuri, Pune, Pune District, Maharashtra, 411037, India"
Sri Sai Hospital,"Keshav Nagar, Pune, Pune"
Aditya Birla Memorial Hospital,"Aditya Birla Memorial Hospital Blood Bank, Aditya Birla Hospital Marg, Mulshi, Pune"
Ashakiran jhc Hospital,"Pimple Gurav, Pimpri-Chinchwad, Haveli, Pune District, Maharashtra, 411012, India"
Dhanashree Hospital,"Vinayak Nagar, Juni Sangvi, Pimpri-Chinchwad, Haveli, Pune"
Cloudnine Hospital - Shivajinagar,"Kalyani Nagar, Pune, Pune District, Maharashtra, 411037, India"
Kalyani Hospital,"Kharadi, Pune, Pune District, Maharashtra, 411014, India"
Horizon Hospital,"Kharadi, Pune, Pune District, Maharashtra, 411014, India"
"Dr Sanjay Kolte - General, Hernia & Laparoscopic Surgeon","Shiv Sagar, Ramchandra Gayakwad Path, Marutrao Gaikwad nagar, Aundh, Pune"
Dharmadhikari Ayurveda Clinic & Research Center,"Vasudev Balvant Phadke Path, Sadashiv Peth,pune"
Pungaliya Hospital," Wagholi, Pune, Pune District, Maharashtra, 411006, India"
Skin Clinic,"Karve Road, Erandwana, Pune"
Prudent Clinics,"Pride supermarket, 00, Lane 5, Suyojan Society, Ghorpuri, Pune, Pune District, Maharashtra, 411001, India"
Prudent International Health Clinic-|SHIVAJI NAGAR|,"Model Colony, Pune, Pune District, Maharashtra, 411016, India"
Dr Wagholikar's Gastro Clinic,"Paan shop, Gopal Hari Deshmukh Marg, Balewadi Phata, Baner, Pune"
Ashirwad Clinic,"Juni Sangvi, Pimpri-Chinchwad, Haveli, Pune"
Madhavbaug Clinic ,"Pimple Gurav, Pimpri-Chinchwad, Haveli, Pune District, Maharashtra, 411012, India"
Kulkarni Clinic,"Vishrantwadi - Airport Road, Ward 3, Pune, Pune District, Maharashtra, 411015, India"
Pandharkar Chest Clinic,"Kharadi Bypass, Kharadi, Pune, Pune District, Maharashtra, 411036, India"
Om Clinic,"Juni Sangvi, Pimpri-Chinchwad, Haveli, Pune"
FeverCare Centre for Infectious Diseases,"Rambhau Kalate path, Radhakrushna colony, Wakad gaav, Mulshi, Pune"
Omkar Khalane Hospital,"Aundh Ravet Road, Kalewadi, Pimpri-Chinchwad, Haveli, Pune"
Lifeberries Healthcare Diagnostics Dental Clinic,"Phoenix Marketcity, 207, Viman Nagar Road, Ward 12, Pune, Pune District, Maharashtra, 411014, India"
